antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.03270624012402731,0.049402224143585464,0.022539578426403507,0.6891522333637193,13.94982200316989,1.0,0.020923817420902383,3.0580814079603726,0.9597027666393344,0.3783783783783784,0.6729975868539867,0.5726992307434167
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.049402224143585464,0.03270624012402731,0.022539578426403507,0.45624622812311405,13.94982200316989,1.0,0.020923817420902383,1.7789187126686867,0.9765586676968561,0.3783783783783784,0.43786076739851343,0.5726992307434167
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.051250708088607974,0.04803076831340747,0.02897945797680451,0.5654450261780105,11.772558425224489,1.0,0.0265178470907025,2.190676183760713,0.9644873567552846,0.41221374045801534,0.5435199380844551,0.5843984907426365
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04803076831340747,0.051250708088607974,0.02897945797680451,0.6033519553072626,11.772558425224487,1.0,0.0265178470907025,2.3919172289033686,0.9612250756863974,0.41221374045801534,0.5819253325674343,0.5843984907426365
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.04311141587907337,0.05271160669031931,0.022778092483825764,0.5283540802213001,10.023486541121397,1.0,0.02050562048614526,2.008473631562754,0.940793243879223,0.3118367346938775,0.5021094704529829,0.4802403885269396
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.05271160669031931,0.04311141587907337,0.022778092483825764,0.43212669683257915,10.023486541121395,1.0,0.02050562048614526,1.6850388612806755,0.950327610307609,0.3118367346938775,0.40654187687993576,0.4802403885269396
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.05157866491756358,0.05131033660296354,0.025491189887003964,0.49421965317919075,9.63197059110008,1.0,0.02284467122855231,1.8756949916307117,0.9449166228681424,0.3293528505392912,0.46686427992719165,0.4955119183966843
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.05131033660296354,0.05157866491756358,0.025491189887003964,0.4968041836141778,9.63197059110008,1.0,0.02284467122855231,1.8847957478947726,0.9446493617240251,0.3293528505392912,0.46943853140747344,0.4955119183966843
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05005813780149668,0.05670671715214216,0.021794221996958945,0.43537820131030375,7.677718322896371,1.0,0.01895558933548652,1.6706639471535374,0.9155854750149006,0.25649122807017544,0.4014355779306836,0.4098552415594631
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05670671715214216,0.05005813780149668,0.021794221996958945,0.3843322818086225,7.677718322896371,1.0,0.01895558933548652,1.5429457061499174,0.9220387624427056,0.25649122807017544,0.3518890548033083,0.4098552415594631
