CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12346,326,34,77556.46,2,2,5,Needs Attention
12347,2,253,5633.32,5,5,5,Champion
12348,75,51,2019.4,3,3,4,Loyal Customer
12349,19,175,4428.69,5,4,5,Champion
12350,310,17,334.4,2,2,2,Needs Attention
12351,375,21,300.93,2,2,2,Needs Attention
12352,36,103,2849.84,4,4,4,Champion
12353,204,24,406.76,2,2,2,Needs Attention
12354,232,58,1079.4,2,3,3,At Risk
12355,214,35,947.61,2,2,3,Needs Attention
12356,23,143,6373.68,4,4,5,Champion
12357,33,296,18287.66,4,5,5,Champion
12358,2,77,3887.07,5,4,5,Champion
12359,58,365,8935.94,4,5,5,Champion
12360,52,217,4252.89,4,5,5,Champion
12361,287,29,511.25,2,2,2,Needs Attention
12362,3,267,5356.23,5,5,5,Champion
12363,110,23,552.0,3,2,2,Needs Attention
12364,8,85,1313.1,5,4,4,Champion
12365,291,22,641.38,2,2,3,Needs Attention
12366,634,3,500.24,1,1,2,Lost
12367,4,11,168.9,5,1,1,Recent User
12368,628,18,917.6999999999999,1,2,3,Needs Attention
12369,413,93,1791.15,1,4,4,At Risk
12370,51,202,4320.31,4,5,5,Champion
12371,45,167,4067.38,4,4,5,Champion
12372,72,52,1298.04,3,3,4,Loyal Customer
12373,311,51,1127.65,2,3,3,At Risk
12374,25,83,2989.2200000000003,4,4,5,Champion
12375,11,17,457.5,5,2,2,Recent User
12376,390,13,503.15,2,1,2,Needs Attention
12377,315,152,3426.32,2,4,5,At Risk
12378,130,301,5416.32,3,5,5,Loyal Customer
12379,82,81,1620.22,3,4,4,Loyal Customer
12380,22,277,9676.300000000001,4,5,5,Champion
12381,5,87,1845.31,5,4,4,Champion
12383,185,99,1850.56,3,4,4,Loyal Customer
12384,29,27,585.27,4,2,2,Recent User
12385,379,65,1938.4,2,3,4,At Risk
12386,338,18,660.8,2,2,3,Needs Attention
12387,415,9,143.94,1,1,1,Lost
12388,16,146,3901.11,5,4,5,Champion
12389,403,49,1433.33,2,3,4,At Risk
12390,80,32,549.84,3,2,2,Needs Attention
12391,22,281,2773.42,4,5,4,Champion
12392,591,7,234.75000000000003,1,1,1,Lost
12393,72,107,2399.4500000000003,3,4,4,Loyal Customer
12394,64,27,1272.48,3,2,4,Needs Attention
12395,19,254,5067.27,5,5,5,Champion
12396,674,65,931.43,1,3,3,At Risk
12397,36,126,2409.9,4,4,4,Champion
12398,46,85,1635.6599999999999,4,4,4,Champion
12399,119,110,1962.3,3,4,4,Loyal Customer
12400,414,11,205.25,1,1,1,Lost
12401,303,5,84.3,2,1,1,Needs Attention
12402,323,70,1256.9,2,3,4,At Risk
12403,50,9,1019.36,4,1,3,Recent User
12404,682,1,63.24,1,1,1,Lost
12405,149,54,1710.39,3,3,4,Loyal Customer
12406,22,166,6390.36,4,4,5,Champion
12407,50,77,1708.1200000000001,4,4,4,Champion
12408,33,159,4340.7699999999995,4,4,5,Champion
12409,79,264,23419.29,3,5,5,Loyal Customer
12410,309,40,1013.71,2,3,3,At Risk
12411,410,22,346.9,2,2,2,Needs Attention
12412,75,127,2596.93,3,4,4,Loyal Customer
12413,67,51,999.45,3,3,3,Loyal Customer
12414,217,28,952.41,2,2,3,Needs Attention
12415,24,926,144458.37,4,5,5,Champion
12416,657,11,202.56,1,1,1,Lost
12417,3,370,6816.91,5,5,5,Champion
12418,113,102,2021.2,3,4,4,Loyal Customer
12419,386,25,503.01,2,2,2,Needs Attention
12420,64,29,600.39,3,2,2,Needs Attention
12421,16,65,1098.6,5,3,3,Loyal Customer
12422,96,172,5231.8,3,4,5,Loyal Customer
12423,1,165,2622.39,5,4,4,Champion
12424,163,92,3340.03,3,4,5,Loyal Customer
12425,78,91,1741.41,3,4,4,Loyal Customer
12426,195,77,1345.21,2,4,4,At Risk
12427,22,41,1129.3,4,3,3,Loyal Customer
12428,26,294,7956.46,4,5,5,Champion
12429,9,173,7485.91,5,4,5,Champion
12430,43,11,256.4,4,1,1,Recent User
12431,36,405,10857.97,4,5,5,Champion
12432,43,108,5059.32,4,4,5,Champion
12433,1,706,20581.26,5,5,5,Champion
12434,85,70,1103.43,3,3,3,Loyal Customer
12435,80,112,13925.93,3,4,5,Loyal Customer
12436,100,16,509.01,3,1,2,Needs Attention
12437,2,563,12683.4,5,5,5,Champion
12438,14,98,2906.85,5,4,4,Champion
12439,683,72,1158.18,1,3,3,At Risk
12440,462,32,859.2,1,2,3,Needs Attention
12441,367,22,347.1,2,2,2,Needs Attention
12442,3,12,172.06,5,1,1,Recent User
12443,732,21,485.31,1,2,2,Needs Attention
12444,21,176,5005.46,4,4,5,Champion
12445,22,24,434.98,4,2,2,Recent User
12446,58,57,1002.3100000000001,4,3,3,Loyal Customer
12447,243,26,476.49,2,2,2,Needs Attention
12448,44,22,449.45,4,2,2,Recent User
12449,22,201,4835.89,4,5,5,Champion
12450,156,37,688.2,3,2,3,Needs Attention
12451,11,511,12669.88,5,5,5,Champion
12452,17,22,430.57,5,2,2,Recent User
12453,134,43,707.09,3,3,3,Loyal Customer
12454,56,40,16679.78,4,3,5,Loyal Customer
12455,73,227,5879.95,3,5,5,Loyal Customer
12456,44,125,3181.04,4,4,5,Champion
12457,66,84,2995.91,3,4,5,Loyal Customer
12458,71,84,1777.49,3,4,4,Loyal Customer
12459,605,23,454.36,1,2,2,Needs Attention
12460,456,18,326.65,1,2,2,Needs Attention
12461,94,35,826.88,3,2,3,Needs Attention
12462,19,62,1189.59,5,3,3,Loyal Customer
12463,53,83,1344.78,4,4,4,Champion
12464,10,29,1212.05,5,2,3,Recent User
12465,17,47,742.1899999999999,5,3,3,Loyal Customer
12466,682,1,56.73,1,1,1,Lost
12467,423,9,132.8,1,1,1,Lost
12468,188,150,3670.74,3,4,5,Loyal Customer
12469,523,76,3070.54,1,3,5,At Risk
12470,690,23,211.95,1,2,1,Needs Attention
12471,2,1137,39963.79,5,5,5,Champion
12472,32,911,17880.59,4,5,5,Champion
12473,29,168,3938.5499999999997,4,4,5,Champion
12474,17,710,12424.45,5,5,5,Champion
12475,54,61,1149.64,4,3,3,Loyal Customer
12476,16,516,14115.41,5,5,5,Champion
12477,23,564,20276.37,4,5,5,Champion
12478,4,36,680.99,5,2,3,Recent User
12479,11,31,527.2,5,2,2,Recent User
12480,28,242,5464.85,4,5,5,Champion
12481,23,391,12361.39,4,5,5,Champion
12482,576,204,23691.4,1,5,5,At Risk
12483,17,139,5120.58,5,4,5,Champion
12484,33,475,6370.15,4,5,5,Champion
12485,529,34,708.1,1,2,3,Needs Attention
12486,432,49,1037.28,1,3,3,At Risk
12487,731,2,285.29999999999995,1,1,1,Lost
12488,10,55,1298.66,5,3,4,Loyal Customer
12489,336,15,334.93,2,1,2,Needs Attention
12490,5,462,9823.64,5,5,5,Champion
12491,39,26,460.40000000000003,4,2,2,Recent User
12492,63,42,715.21,3,3,3,Loyal Customer
12493,166,22,433.74,3,2,2,Needs Attention
12494,16,111,1872.8700000000001,5,4,4,Champion
12495,641,17,357.4,1,2,2,Needs Attention
12496,620,13,54.09,1,1,1,Lost
12497,82,57,6248.5,3,3,5,Loyal Customer
12498,21,23,403.70000000000005,4,2,2,Recent User
